date,daily-atr,close,spike,doji,spike-doji,doji-v,spike-v,spike-doji-v,long,short
2024-09-04T09:41:00Z,,1.10573,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:42:00Z,,1.10575,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T09:43:00Z,,1.10567,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:44:00Z,,1.10569,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T09:45:00Z,,1.10563,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:46:00Z,,1.10566,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:47:00Z,,1.10561,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:48:00Z,,1.10566,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:49:00Z,,1.1056,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:50:00Z,,1.10553,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:51:00Z,,1.10546,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:52:00Z,,1.10545,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:53:00Z,,1.10546,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:54:00Z,,1.10546,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:55:00Z,,1.10538,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:56:00Z,,1.10544,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:57:00Z,,1.10536,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T09:58:00Z,,1.10537,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T09:59:00Z,,1.10532,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:00:00Z,,1.10522,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:01:00Z,,1.10513,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:02:00Z,,1.10526,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T10:03:00Z,,1.10512,flat,short,flat,-1.0,0.0,0.0,,
